"gene","n_probes","MCI_vs_HC","AD_vs_MCI","AD_vs_HC","fdr_MCI_vs_HC","fdr_AD_vs_MCI","trajectory_class"
"DEGS1",2,-0.19731308161098,0.220415948349257,0.023102866738277,0.00059712615101025,0.0215612031712972,"MCI_trough"
"DRAM",1,-0.165623963280606,0.18102853664463,0.015404573364024,0.00034261751234417,0.0215612031712972,"MCI_trough"
"LPGAT1",2,-0.0996621198608829,0.103994787195433,0.00433266733455009,0.000223336346630221,0.0215612031712972,"MCI_trough"
"PGM2",1,-0.190777102022732,0.193013872324144,0.00223677030141201,6.47549889045236e-05,0.0215612031712972,"MCI_trough"
"RNASEL",2,-0.129792661669148,0.210747148906233,0.080954487237085,0.019821770893755,0.0215612031712972,"MCI_trough"
"SARM1",1,0.188035755203416,-0.162429333918221,0.025606421285195,5.65649861885021e-06,0.0215612031712972,"MCI_peak"
"SIGIRR",3,0.122851930074619,-0.176312838479673,-0.053460908405054,0.00880560339586395,0.0215612031712972,"MCI_peak"
"TBCD",2,0.214550555138601,-0.158697566907224,0.055852988231377,4.69078237739969e-07,0.0215612031712972,"MCI_peak"
"UCP2",1,0.37153789480903,-0.463723744223497,-0.092185849414467,0.00138139002917512,0.0215612031712972,"MCI_peak"
"ZFPM1",1,0.284711778682297,-0.236082398012072,0.048629380670225,4.38352717166922e-06,0.0215612031712972,"MCI_peak"
"ELAVL3",2,0.0687605130438587,-0.0935234451682203,-0.0247629321243616,0.00627103153665039,0.0226696371556055,"MCI_peak"
"FGF2",1,0.094557439110682,-0.0950762869263055,-0.000518847815623502,0.000149087073613482,0.0226696371556055,"MCI_peak"
"PHF15",1,0.278204235290095,-0.257244966734295,0.0209592685558,4.68073430980534e-05,0.0240983692327448,"MCI_peak"
"GPR160",1,-0.112163916196996,0.193690465689055,0.081526549492059,0.0250568329952368,0.0215612031712972,"MCI_trough"
"AES",3,0.161133970274274,-0.246133983696171,-0.085000013421897,0.0201272730765742,0.0253540123119778,"MCI_peak"
"LOC152195",1,-0.0688615560671155,0.0991336179124409,0.0302720618453254,0.0123954649953647,0.0253540123119778,"MCI_trough"
"RCBTB2",2,-0.167281172132513,0.186594108624592,0.019312936492079,0.000973706233750039,0.0253540123119778,"MCI_trough"
"TMEM71",1,-0.262051960693122,0.391961920120979,0.129909959427857,0.0169390062131125,0.0253540123119778,"MCI_trough"
"PHC1",1,0.117776801039216,-0.111327814477337,0.00644898656187901,0.000106122699106041,0.0258265630260419,"MCI_peak"
"SLC35A5",1,-0.255191050100577,0.20914359669761,-0.046047453402967,9.72517565260419e-06,0.0258265630260419,"MCI_trough"
"SLC40A1",2,-0.146518351523552,0.201623252161715,0.055104900638163,0.0091652370141824,0.0258265630260419,"MCI_trough"
"TMED5",1,-0.349668739087407,0.364414157018607,0.0147454179312,0.000487377899347612,0.0258265630260419,"MCI_trough"
"TRIM33",2,-0.208109473062413,0.233319497115315,0.025210024052902,0.00122445672614659,0.0258265630260419,"MCI_trough"
"USP15",1,-0.194797287960797,0.25855357122303,0.063756283262233,0.00685084542639939,0.0258265630260419,"MCI_trough"
"CENTB2",2,-0.140334856286652,0.223314492864419,0.082979636577767,0.0259189919752852,0.0253540123119778,"MCI_trough"
