"gene","trajectory_class","discovery_direction_ok","GSE63060_estimate_MCI_vs_HC","GSE63060_p_MCI_vs_HC","GSE63060_estimate_AD_vs_HC","GSE63060_estimate_AD_vs_MCI","GSE63060_p_AD_vs_MCI","GSE63060_mapped","GSE63061_estimate_MCI_vs_HC","GSE63061_p_MCI_vs_HC","GSE63061_estimate_AD_vs_HC","GSE63061_estimate_AD_vs_MCI","GSE63061_p_AD_vs_MCI","GSE63061_mapped","GSE63061_direction_concordant","development_min_abs_effect","development_geometric_effect","development_consistent","panel_role"
"GPI","MCI_peak","True",0.943071616835801,1.45254021582184e-06,0.162733901699091,-0.78033771513671,0.000149014755549121,"True",0.559888578603651,0.0103936078917401,-0.0102112024196185,-0.57009978102327,0.0182380644531741,"True","True",0.559888578603651,0.696177428722302,"True","development_locked_12"
"PHF15","MCI_peak","True",0.941754123256839,1.3246547134128e-06,0.0709495941436189,-0.87080452911322,2.3325302078148e-05,"True",0.509909282367671,0.018806017198085,-0.0868586881628313,-0.596767970530502,0.0131271397018252,"True","True",0.509909282367671,0.706787985291489,"True","development_locked_12"
"VAT1","MCI_peak","True",0.8941540714494,2.49696365106589e-06,0.14284335794796,-0.751310713501439,0.000170624388043355,"True",0.520399835775799,0.0170911942106211,0.0159581678987784,-0.50444166787702,0.0363745175563467,"True","True",0.50444166787702,0.648029849853321,"True","development_locked_12"
"EIF3B","MCI_peak","True",0.597308332047764,0.00241938526957374,-0.176521492564408,-0.773829824612172,0.000255196695067275,"True",0.460052699677389,0.0359163577936155,-0.156987237574442,-0.617039937251831,0.0113482844735727,"True","True",0.460052699677389,0.60185410038816,"True","development_locked_12"
"UCP2","MCI_peak","True",0.748382025677347,0.000105947317871847,-0.185688280219841,-0.934070305897188,6.96443333841843e-06,"True",0.49376600256937,0.0237237139876414,0.0376110794625699,-0.4561549231068,0.0584581471386308,"True","True",0.4561549231068,0.629918141602177,"True","development_locked_12"
"LAT1-3TM","MCI_peak","True",1.09691583827125,1.43592143543384e-08,0.303029538482644,-0.793886299788606,7.63247640492541e-05,"True",0.584548928905968,0.00754802706723724,0.129104942667999,-0.455443986237969,0.0584518329717114,"True","True",0.455443986237969,0.69389996231443,"True","development_locked_12"
"C22ORF39","MCI_trough","True",-0.672543754818054,0.000662040100524522,0.100889593910464,0.773433348728518,0.000253594165463804,"True",-0.787891947440061,0.000291053671437476,-0.0933572513782269,0.694534696061834,0.00362024712831234,"True","True",0.672543754818054,0.730425643012275,"True","development_locked_12"
"USP38","MCI_trough","True",-0.931925613417094,1.81406441292035e-06,-0.173705566447413,0.758220046969681,0.000218502716742434,"True",-0.642313631369544,0.00326416161936553,0.0129847856499192,0.655298417019463,0.00659117612256798,"True","True",0.642313631369544,0.738483322975005,"True","development_locked_12"
"ZSWIM6","MCI_trough","True",-0.844815425760205,1.56338549535793e-05,-0.0121526731114267,0.832662752648778,6.12921659404871e-05,"True",-0.543476093128552,0.0125280051264495,0.0195401235134828,0.563016216642034,0.0193150776644651,"True","True",0.543476093128552,0.681134817239972,"True","development_locked_12"
"PRDM10","MCI_trough","True",-0.655779024797037,0.00094312432761075,0.0557995542019439,0.711578578998981,0.000776656794853015,"True",-0.529280088824982,0.0147271051824974,0.102810843637657,0.63209093246264,0.00863860860665055,"True","True",0.529280088824982,0.628581183068992,"True","development_locked_12"
"RP2","MCI_trough","True",-0.762847937011682,7.72130920530627e-05,0.0800958214514219,0.842943758463104,4.38500167829464e-05,"True",-0.527587590030932,0.0148783786212196,0.0255830646500898,0.553170654681022,0.0209646773864092,"True","True",0.527587590030932,0.658184377799927,"True","development_locked_12"
"GCA","MCI_trough","True",-0.776586754337981,8.08895691746449e-05,0.00911621243232071,0.785702966770302,0.000178877994351918,"True",-0.527567110065824,0.0152775790152738,0.218248368760428,0.745815478826253,0.0020936843399132,"True","True",0.527567110065824,0.699986024546571,"True","development_locked_12"
