"cell_type","avg_expr","pct_expr","gene","marker_set"
"Central memory CD8 T cells",0.344710124128918,26.5522875816993,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"Effector memory CD8 T cells",0.0853470209949784,6.62415869642225,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"MAIT cells",0.0260637533924444,2.2740193291643,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"Naive CD8 T cells",1.22327594139272,79.4370602032838,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"Natural killer cells",0.00887159851264536,0.578034682080925,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"Neutrophil",0,0,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"Non-switched memory B cells",0.478743067293334,38.8888888888889,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"Terminal effector CD8 T cells",0.00294697188151046,0.2197265625,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"Th2 cells",0.407548240459091,36.4856230031949,"CCR7","Central memory CD8 T; Naive CD8 T; Th2"
"Central memory CD8 T cells",2.38573364504351,97.5898692810458,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"Effector memory CD8 T cells",1.29235812519486,63.2837407013815,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"MAIT cells",2.62665917642241,97.9533826037521,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"Naive CD8 T cells",1.74742197435456,91.7122752150117,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"Natural killer cells",0.00925166279169847,0.578034682080925,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"Neutrophil",0.155419611048513,15.1515151515152,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"Non-switched memory B cells",0.353285028069749,24.0740740740741,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"Terminal effector CD8 T cells",0.53952333148521,29.79736328125,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"Th2 cells",2.220976330265,96.8051118210863,"IL7R","Central memory CD8 T; Naive CD8 T; Th2"
"Central memory CD8 T cells",2.05143168263952,91.5441176470588,"LTB","Central memory CD8 T; Naive CD8 T; Th2"
