"source","target","pathway_name","prob","pval"
"Central memory CD8 T cells","Central memory CD8 T cells","ADGRE",0.011897394943107,0.01
"Central memory CD8 T cells","Central memory CD8 T cells","MIF",0.171029164001872,0
"Central memory CD8 T cells","Central memory CD8 T cells","Prostaglandin",0.0623419586449739,0
"Central memory CD8 T cells","Effector memory CD8 T cells","ADGRE",0.0134463418708923,0
"Central memory CD8 T cells","Effector memory CD8 T cells","MHC-I",2.78494426030442,0.005
"Central memory CD8 T cells","Effector memory CD8 T cells","MIF",0.400387531000879,0
"Central memory CD8 T cells","Effector memory CD8 T cells","PARs",0.00111254626457651,0
"Central memory CD8 T cells","Effector memory CD8 T cells","Prostaglandin",0.0170756988233328,0
"Central memory CD8 T cells","MAIT cells","ADGRE",0.0341938119372011,0
"Central memory CD8 T cells","MAIT cells","CLEC",0.311357215895419,0
"Central memory CD8 T cells","MAIT cells","MIF",0.380782084333902,0
"Central memory CD8 T cells","MAIT cells","Prostaglandin",0.0588401664956887,0.02
"Central memory CD8 T cells","Naive CD8 T cells","ADGRE",0.00951661351629719,0
"Central memory CD8 T cells","Naive CD8 T cells","MHC-I",1.619520156839,0.011
"Central memory CD8 T cells","Naive CD8 T cells","SELPLG",0.0277985245155011,0
"Central memory CD8 T cells","Non-switched memory B cells","CD45",0.0920343937904361,0
"Central memory CD8 T cells","Non-switched memory B cells","MIF",0.530082316291966,0
"Central memory CD8 T cells","Non-switched memory B cells","SELPLG",0.0167379175884593,0.02
"Central memory CD8 T cells","Non-switched memory B cells","SEMA4",0.0039684926328127,0
"Central memory CD8 T cells","Terminal effector CD8 T cells","ADGRE",0.0170084095589109,0
"Central memory CD8 T cells","Terminal effector CD8 T cells","CLEC",0.0381151323697386,0
"Central memory CD8 T cells","Terminal effector CD8 T cells","ICAM",0.0219865190597285,0
"Central memory CD8 T cells","Th2 cells","ADGRE",0.030470833289254,0
"Central memory CD8 T cells","Th2 cells","CCL",0.0386023658035588,0
"Central memory CD8 T cells","Th2 cells","Prostaglandin",0.046056266975767,0
"Central memory CD8 T cells","Th2 cells","SELPLG",0.0180727206456287,0
"Effector memory CD8 T cells","Central memory CD8 T cells","LCK",0.137518405057032,0
"Effector memory CD8 T cells","Central memory CD8 T cells","MHC-I",1.3010135224333,0.0125
"Effector memory CD8 T cells","Central memory CD8 T cells","MIF",0.166094510007918,0
"Effector memory CD8 T cells","Central memory CD8 T cells","Prostaglandin",0.0668180343816021,0
"Effector memory CD8 T cells","Central memory CD8 T cells","SELPLG",0.00585619336660638,0.04
"Effector memory CD8 T cells","Effector memory CD8 T cells","LCK",0.148203811670719,0
"Effector memory CD8 T cells","Effector memory CD8 T cells","MHC-I",3.1071859325127,0.00111111111111111
"Effector memory CD8 T cells","Effector memory CD8 T cells","MIF",0.389273840154803,0
"Effector memory CD8 T cells","Effector memory CD8 T cells","PARs",0.00864686461039271,0
"Effector memory CD8 T cells","Effector memory CD8 T cells","Prostaglandin",0.0183295442684558,0
"Effector memory CD8 T cells","MAIT cells","CLEC",0.429663798093556,0
"Effector memory CD8 T cells","MAIT cells","MHC-I",1.37794386638722,0
"Effector memory CD8 T cells","MAIT cells","MIF",0.370090629029236,0
"Effector memory CD8 T cells","MAIT cells","Prostaglandin",0.0630632593734367,0
"Effector memory CD8 T cells","Naive CD8 T cells","LCK",0.134040315569106,0
"Effector memory CD8 T cells","Naive CD8 T cells","MHC-I",1.73805893226537,0.0025
"Effector memory CD8 T cells","Naive CD8 T cells","Prostaglandin",0.0163446967082563,0.02
