"gene","distance","Z","FC","p.value","p.adj","target_gene","context","n_input_cells","n_sampled_cells","n_donors","significant","log2FC","is_target_gene","is_legacy_response_gene","is_nuisance_gene","significant_non_target","significant_biological_non_target","response_class"
"C22orf39",2.39050959152855e-05,2.50213089657641,3101.55124755996,0,0,"C22ORF39","MCI_CD8_states",2804,2804,2,TRUE,11.5987742477113,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"EIF3B",4.24528814290176e-05,2.30497623926254,4213.47311514481,0,0,"EIF3B","MCI_CD8_states",2804,2804,2,TRUE,12.0407942044907,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"GCA",3.86967466475762e-06,2.28398213271297,3953.73340538669,0,0,"GCA","MCI_CD8_states",2804,2804,2,TRUE,11.9489998801366,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"GPI",5.27618443064509e-05,2.26265979250515,3914.33803393384,0,0,"GPI","MCI_CD8_states",2804,2804,2,TRUE,11.9345526340918,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"PRDM10",5.65761385646599e-06,2.64752949965238,3259.41070382622,0,0,"PRDM10","MCI_CD8_states",2804,2804,2,TRUE,11.6703954357694,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"RP2",4.40495346906703e-08,2.62274793502076,33591.8400456749,0,0,"RP2","MCI_CD8_states",2804,2804,2,TRUE,15.0358232031678,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"UCP2",1.80131532271736e-05,2.33100729308924,2157.42387223733,0,0,"UCP2","MCI_CD8_states",2804,2804,2,TRUE,11.0750939374228,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"USP38",1.07382054359318e-05,2.38592346612855,2911.1861238585,0,0,"USP38","MCI_CD8_states",2804,2804,2,TRUE,11.5073913643782,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"VAT1",1.0811623346222e-07,2.13674915689237,37756.929068303,0,0,"VAT1","MCI_CD8_states",2804,2804,2,TRUE,15.2044538084945,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"ZSWIM6",1.47617996106923e-05,2.09365965768258,7918.7409091882,0,0,"ZSWIM6","MCI_CD8_states",2804,2804,2,TRUE,12.9510553426849,TRUE,FALSE,FALSE,FALSE,FALSE,"Biological"
"RPS4Y1",5.94985688686673e-06,2.26223802262286,893.757285974686,2.23314522001766e-196,1.68490806850333e-193,"USP38","MCI_CD8_states",2804,2804,2,TRUE,9.80373928755642,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
"RPS4Y1",1.93998460792107e-05,2.15863095383619,879.877982156136,2.32359507260588e-193,1.75315248228113e-190,"EIF3B","MCI_CD8_states",2804,2804,2,TRUE,9.78115966040699,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
"RPS26",4.90855074895847e-06,1.93120801993738,875.556332663316,2.02144284468142e-192,1.52517862631213e-189,"ZSWIM6","MCI_CD8_states",2804,2804,2,FALSE,9.77405619337873,FALSE,FALSE,TRUE,FALSE,FALSE,"Nuisance"
"RPS26",1.81372044660102e-06,2.15481951298085,868.558694026324,6.71301900802229e-191,5.06497284155282e-188,"GCA","MCI_CD8_states",2804,2804,2,TRUE,9.76247953406968,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
"RPS26",2.845674762692e-06,2.49176015829481,824.599385214941,2.41998170254678e-181,1.82587619457155e-178,"PRDM10","MCI_CD8_states",2804,2804,2,TRUE,9.68754957539109,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
"RPS4Y1",2.39662551640135e-05,2.12219393711924,807.641728020794,1.17658062510805e-177,8.87730081644024e-175,"GPI","MCI_CD8_states",2804,2804,2,TRUE,9.65757164137212,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
"RPS4Y1",1.2159956148496e-05,2.36022905788005,802.531333861377,1.51951382933245e-176,1.14647318423133e-173,"C22ORF39","MCI_CD8_states",2804,2804,2,TRUE,9.64841391138526,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
"RPS4Y1",1.08690394858281e-05,2.22586153853034,785.485778352523,7.72236228043898e-173,5.82652234059121e-170,"UCP2","MCI_CD8_states",2804,2804,2,TRUE,9.61744134475183,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
"RPS26",1.03523206801985e-05,2.21583023295525,712.57638625113,5.50707206208904e-157,2.77005724723079e-154,"UCP2","MCI_CD8_states",2804,2804,2,TRUE,9.47690086521498,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
"RPS26",1.13847971357576e-05,2.34659509131635,703.474846074156,5.24902563399147e-155,2.64025989389771e-152,"C22ORF39","MCI_CD8_states",2804,2804,2,TRUE,9.45835502817205,FALSE,FALSE,TRUE,TRUE,FALSE,"Nuisance"
