"gene","distance","Z","FC","p.value","p.adj","target_gene","context","n_input_cells","n_sampled_cells","n_donors","significant","log2FC","is_target_gene","is_legacy_response_gene","is_nuisance_gene","significant_non_target","significant_biological_non_target"
"RPS4Y1",1.2159956148496e-05,2.36022905788005,802.531333861377,1.51951382933245e-176,1.14647318423133e-173,"C22ORF39","MCI_CD8_states",2804,2804,2,TRUE,9.64841391138526,FALSE,FALSE,TRUE,TRUE,FALSE
"RPS26",1.13847971357576e-05,2.34659509131635,703.474846074156,5.24902563399147e-155,2.64025989389771e-152,"C22ORF39","MCI_CD8_states",2804,2804,2,TRUE,9.45835502817205,FALSE,FALSE,TRUE,TRUE,FALSE
"RPL41",1.25732114168924e-07,1.49056780304108,0.0858006181621099,0.769585269134103,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-3.54286814792172,FALSE,FALSE,TRUE,FALSE,FALSE
"TMSB10",1.23806789149647e-07,1.48788100197748,0.0831930222177364,0.773016070810604,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-3.58739366181739,FALSE,FALSE,FALSE,FALSE,FALSE
"MT-ATP6",1.17342436121396e-07,1.47855632015277,0.0747322711528054,0.784567244889257,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-3.74212482255176,FALSE,FALSE,TRUE,FALSE,FALSE
"MT-ATP8",1.13343508751227e-07,1.47253727950477,0.0697254436220901,0.791736953829683,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-3.84217098146982,FALSE,FALSE,TRUE,FALSE,FALSE
"EEF1G",1.12777210806244e-07,1.47166844087485,0.0690304459902148,0.79275371481467,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-3.85662338453267,FALSE,TRUE,TRUE,FALSE,FALSE
"RPS2",1.11288989353636e-07,1.46936498396076,0.0672205988739456,0.795427421690228,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-3.8949527939806,FALSE,FALSE,TRUE,FALSE,FALSE
"NBEAL1",1.09990508648644e-07,1.46733087066223,0.0656611373701711,0.797762209640048,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-3.92881644954866,FALSE,FALSE,FALSE,FALSE,FALSE
"EEF1A1",9.92741266689355e-08,1.44960266155675,0.053489696132747,0.817098529780221,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-4.22459518180994,FALSE,FALSE,FALSE,FALSE,FALSE
"RPS6",9.60039796588837e-08,1.44382485292146,0.0500237739139213,0.823021910552283,0.999999999999481,"C22ORF39","MCI_CD8_states",2804,2804,2,FALSE,-4.3212422877633,FALSE,FALSE,TRUE,FALSE,FALSE
