"context","target_gene","n_non_target_genes","significant_non_target_genes","significant_biological_non_target_genes","significant_nuisance_genes","top_non_target_gene","top_non_target_padj","top_non_target_Z"
"MCI_CD8_states","C22ORF39",1508,2,0,2,"RPS4Y1",1.14647318423133e-173,2.36022905788005
"MCI_CD8_states","EIF3B",1508,2,0,2,"RPS4Y1",1.75315248228113e-190,2.15863095383619
"MCI_CD8_states","GCA",1508,2,0,2,"RPS26",5.06497284155282e-188,2.15481951298085
"MCI_CD8_states","GPI",1508,2,0,2,"RPS4Y1",8.87730081644024e-175,2.12219393711924
"MCI_CD8_states","PRDM10",1508,2,0,2,"RPS26",1.82587619457155e-178,2.49176015829481
"MCI_CD8_states","RP2",1508,0,0,0,"HLA-A",1.29812277375502e-07,1.99955724336825
"MCI_CD8_states","UCP2",1508,2,0,2,"RPS4Y1",5.82652234059121e-170,2.22586153853034
"MCI_CD8_states","USP38",1508,2,0,2,"RPS4Y1",1.68490806850333e-193,2.26223802262286
"MCI_CD8_states","VAT1",1508,0,0,0,"RPL13",2.0805995852011e-09,1.65567065223487
"MCI_CD8_states","ZSWIM6",1508,0,0,0,"RPS26",1.52517862631213e-189,1.93120801993738
