"panel_gene","disease_group","cell_type","mean_expr","assay_gene.x","assay_gene.y","z"
"C22ORF39","HC","Central memory CD8 T cells",0.128460173508877,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","HC","Effector memory CD8 T cells",0.130027435268676,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","HC","MAIT cells",0.110420381783698,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","HC","Naive CD8 T cells",0.198210603988324,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","HC","Natural killer cells",0.036851890731695,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","HC","Neutrophil",0.275528883081203,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","HC","Non-switched memory B cells",0.254053170281418,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","HC","Terminal effector CD8 T cells",0.161865223691923,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","HC","Th2 cells",0.223074804285153,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","MCI","Central memory CD8 T cells",0.107481599597234,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","MCI","Effector memory CD8 T cells",0.228062866070822,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","MCI","MAIT cells",0.223089902404824,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","MCI","Naive CD8 T cells",0.220832196291807,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","MCI","Natural killer cells",NA,NA,"C22orf39",-0.77298909453888
"C22ORF39","MCI","Neutrophil",NA,NA,"C22orf39",-0.77298909453888
"C22ORF39","MCI","Non-switched memory B cells",0.167629975250695,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","MCI","Terminal effector CD8 T cells",0.229280787497522,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","MCI","Th2 cells",0.239785876845237,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","Central memory CD8 T cells",0.152456771815383,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","Effector memory CD8 T cells",0.173281207610971,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","MAIT cells",0.143199887890886,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","Naive CD8 T cells",0.203153717191727,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","Natural killer cells",0,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","Neutrophil",0.313410764531431,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","Non-switched memory B cells",0.22540467972694,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","Terminal effector CD8 T cells",0.242714546599491,"C22orf39","C22orf39",-0.77298909453888
"C22ORF39","AD","Th2 cells",0.215515805707757,"C22orf39","C22orf39",-0.77298909453888
"EIF3B","HC","Central memory CD8 T cells",0.0700148051159542,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","HC","Effector memory CD8 T cells",0.0835755048852548,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","HC","MAIT cells",0.102442239136697,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","HC","Naive CD8 T cells",0.109256130303091,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","HC","Natural killer cells",0.221847147244745,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","HC","Neutrophil",0.251439739151269,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","HC","Non-switched memory B cells",0.170745549366653,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","HC","Terminal effector CD8 T cells",0.0894349222277433,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","HC","Th2 cells",0.100151926230598,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","MCI","Central memory CD8 T cells",0.0570161021346128,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","MCI","Effector memory CD8 T cells",0.0812326364313324,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","MCI","MAIT cells",0.0999589205658034,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","MCI","Naive CD8 T cells",0.129725038843127,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","MCI","Natural killer cells",NA,NA,"EIF3B",-0.603068004529388
"EIF3B","MCI","Neutrophil",NA,NA,"EIF3B",-0.603068004529388
"EIF3B","MCI","Non-switched memory B cells",0.100116917004774,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","MCI","Terminal effector CD8 T cells",0.0980579308987262,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","MCI","Th2 cells",0.15575145472492,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","Central memory CD8 T cells",0.100735392502219,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","Effector memory CD8 T cells",0.0797034092649994,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","MAIT cells",0.095183684574226,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","Naive CD8 T cells",0.092383693521289,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","Natural killer cells",0,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","Neutrophil",0.295679056158219,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","Non-switched memory B cells",0,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","Terminal effector CD8 T cells",0.0824543219701954,"EIF3B","EIF3B",-0.603068004529388
"EIF3B","AD","Th2 cells",0.0897478099038929,"EIF3B","EIF3B",-0.603068004529388
"GCA","HC","Central memory CD8 T cells",0.0412062666906144,"GCA","GCA",-0.25335150650622
"GCA","HC","Effector memory CD8 T cells",0.0219763099431926,"GCA","GCA",-0.25335150650622
"GCA","HC","MAIT cells",0.0183776371553506,"GCA","GCA",-0.25335150650622
"GCA","HC","Naive CD8 T cells",0.0560985801634504,"GCA","GCA",-0.25335150650622
"GCA","HC","Natural killer cells",0,"GCA","GCA",-0.25335150650622
"GCA","HC","Neutrophil",0.8147727478446,"GCA","GCA",-0.25335150650622
"GCA","HC","Non-switched memory B cells",0.0701395115743786,"GCA","GCA",-0.25335150650622
"GCA","HC","Terminal effector CD8 T cells",0.0153843155302933,"GCA","GCA",-0.25335150650622
"GCA","HC","Th2 cells",0.0478833077161952,"GCA","GCA",-0.25335150650622
"GCA","MCI","Central memory CD8 T cells",0.0429847335328373,"GCA","GCA",-0.25335150650622
"GCA","MCI","Effector memory CD8 T cells",0.0518309723503535,"GCA","GCA",-0.25335150650622
"GCA","MCI","MAIT cells",0.0434222257213986,"GCA","GCA",-0.25335150650622
"GCA","MCI","Naive CD8 T cells",0.0355130133893523,"GCA","GCA",-0.25335150650622
"GCA","MCI","Natural killer cells",NA,NA,"GCA",-0.25335150650622
"GCA","MCI","Neutrophil",NA,NA,"GCA",-0.25335150650622
"GCA","MCI","Non-switched memory B cells",0,"GCA","GCA",-0.25335150650622
"GCA","MCI","Terminal effector CD8 T cells",0.0216908796227339,"GCA","GCA",-0.25335150650622
"GCA","MCI","Th2 cells",0.0469944467516956,"GCA","GCA",-0.25335150650622
"GCA","AD","Central memory CD8 T cells",0.0346476900238566,"GCA","GCA",-0.25335150650622
"GCA","AD","Effector memory CD8 T cells",0.0278151577250788,"GCA","GCA",-0.25335150650622
"GCA","AD","MAIT cells",0.0279560430101337,"GCA","GCA",-0.25335150650622
"GCA","AD","Naive CD8 T cells",0.0429793724183895,"GCA","GCA",-0.25335150650622
"GCA","AD","Natural killer cells",0,"GCA","GCA",-0.25335150650622
"GCA","AD","Neutrophil",0.480173187365891,"GCA","GCA",-0.25335150650622
"GCA","AD","Non-switched memory B cells",0.153222861851341,"GCA","GCA",-0.25335150650622
"GCA","AD","Terminal effector CD8 T cells",0.0193775148083102,"GCA","GCA",-0.25335150650622
"GCA","AD","Th2 cells",0.0442323773519765,"GCA","GCA",-0.25335150650622
"GPI","HC","Central memory CD8 T cells",0.478558665686484,"GPI","GPI",0.234168996548062
"GPI","HC","Effector memory CD8 T cells",0.558181065748808,"GPI","GPI",0.234168996548062
"GPI","HC","MAIT cells",0.610415273370935,"GPI","GPI",0.234168996548062
"GPI","HC","Naive CD8 T cells",0.358012479742943,"GPI","GPI",0.234168996548062
"GPI","HC","Natural killer cells",0.2938178572778,"GPI","GPI",0.234168996548062
"GPI","HC","Neutrophil",0.339356580562754,"GPI","GPI",0.234168996548062
"GPI","HC","Non-switched memory B cells",0.351665164123847,"GPI","GPI",0.234168996548062
"GPI","HC","Terminal effector CD8 T cells",0.46682324560433,"GPI","GPI",0.234168996548062
"GPI","HC","Th2 cells",0.523128406991965,"GPI","GPI",0.234168996548062
"GPI","MCI","Central memory CD8 T cells",0.454443470713891,"GPI","GPI",0.234168996548062
"GPI","MCI","Effector memory CD8 T cells",0.445358880770847,"GPI","GPI",0.234168996548062
"GPI","MCI","MAIT cells",0.516516215515471,"GPI","GPI",0.234168996548062
"GPI","MCI","Naive CD8 T cells",0.283962141517127,"GPI","GPI",0.234168996548062
"GPI","MCI","Natural killer cells",NA,NA,"GPI",0.234168996548062
"GPI","MCI","Neutrophil",NA,NA,"GPI",0.234168996548062
"GPI","MCI","Non-switched memory B cells",0.244423696909096,"GPI","GPI",0.234168996548062
"GPI","MCI","Terminal effector CD8 T cells",0.470088375544265,"GPI","GPI",0.234168996548062
"GPI","MCI","Th2 cells",0.483822684181434,"GPI","GPI",0.234168996548062
"GPI","AD","Central memory CD8 T cells",0.386117972193572,"GPI","GPI",0.234168996548062
"GPI","AD","Effector memory CD8 T cells",0.46207209958314,"GPI","GPI",0.234168996548062
"GPI","AD","MAIT cells",0.619373511435694,"GPI","GPI",0.234168996548062
"GPI","AD","Naive CD8 T cells",0.315624911765965,"GPI","GPI",0.234168996548062
"GPI","AD","Natural killer cells",0.803600834195307,"GPI","GPI",0.234168996548062
"GPI","AD","Neutrophil",0.433558989169118,"GPI","GPI",0.234168996548062
"GPI","AD","Non-switched memory B cells",0.37144355126445,"GPI","GPI",0.234168996548062
"GPI","AD","Terminal effector CD8 T cells",0.483158349412489,"GPI","GPI",0.234168996548062
"GPI","AD","Th2 cells",0.493517882437525,"GPI","GPI",0.234168996548062
