"stage","target_gene","significant_biological_non_target_genes","biological_positive","significant_nuisance_genes","significant_non_target_genes","mci_biological_gate"
"AD","C22ORF39",0,0,1,1,FALSE
"HC","C22ORF39",0,0,2,2,FALSE
"MCI","C22ORF39",0,0,2,2,FALSE
"AD","EIF3B",0,0,2,2,FALSE
"HC","EIF3B",0,0,0,0,FALSE
"MCI","EIF3B",0,0,2,2,FALSE
"AD","GCA",0,0,0,0,FALSE
"HC","GCA",0,0,2,2,FALSE
"MCI","GCA",0,0,2,2,FALSE
"AD","GPI",0,0,2,2,FALSE
"HC","GPI",0,0,2,2,FALSE
"MCI","GPI",0,0,2,2,FALSE
"AD","PRDM10",0,0,2,2,FALSE
"HC","PRDM10",8,8,7,15,FALSE
"MCI","PRDM10",0,0,2,2,FALSE
"AD","RP2",0,0,0,0,FALSE
"HC","RP2",11,11,6,17,FALSE
"MCI","RP2",0,0,0,0,FALSE
"AD","UCP2",0,0,0,0,FALSE
"HC","UCP2",0,0,2,2,FALSE
"MCI","UCP2",0,0,2,2,FALSE
"AD","USP38",0,0,2,2,FALSE
"HC","USP38",0,0,2,2,FALSE
"MCI","USP38",0,0,2,2,FALSE
"AD","VAT1",0,0,1,1,FALSE
"HC","VAT1",0,0,1,1,FALSE
"MCI","VAT1",0,0,0,0,FALSE
"AD","ZSWIM6",0,0,0,0,FALSE
"HC","ZSWIM6",10,10,5,15,FALSE
"MCI","ZSWIM6",0,0,0,0,FALSE
